message;severity;node;stamp;topics;location
"Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.";"4";"/environment_updater";"1650482975.922009944";"/bees/bee_alive,/bees/bee_updated,/bees/outcome_processed,/flowers/flower_alive,/flowers/flower_updated,/outcomes,/rosout,/tick_completed,/update_bees,/update_flowers";"tcpros_base.py:TCPROSServer._tcp_server_callback:355"
"Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.";"4";"/environment_updater";"1650482975.696588039";"/bees/bee_alive,/bees/bee_updated,/bees/outcome_processed,/flowers/flower_alive,/flowers/flower_updated,/outcomes,/rosout,/tick_completed,/update_bees,/update_flowers";"tcpros_base.py:TCPROSServer._tcp_server_callback:355"
"{'avg_observe_ratio': 0.33, 'avg_explore_ratio': 0.15, 'fittest_explore_ratio': 0.15, 'fittest_exploit_ratio': 0.45, 'avg_fitness': 3.9599999999999995, 'avg_exploit_ratio': 0.52, 'max_fitness': 7.92, 'fittest_observe_ratio': 0.4, 'tick_id': 10000, 'fittest_gene': '1-0-2-1-2-2-2-1-1-0-2-1-2-0-1-2-1-1-2-1'}";"2";"/record_generation_server";"1650482973.478018045";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.33, 'avg_explore_ratio': 0.15, 'fittest_explore_ratio': 0.15, 'fittest_exploit_ratio': 0.55, 'avg_fitness': 3.9599999999999995, 'avg_exploit_ratio': 0.52, 'max_fitness': 7.92, 'fittest_observe_ratio': 0.3, 'tick_id': 9900, 'fittest_gene': '1-1-1-1-2-0-2-1-1-0-2-1-2-0-1-2-1-1-2-1'}";"2";"/record_generation_server";"1650482972.975019931";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.34, 'avg_explore_ratio': 0.14, 'fittest_explore_ratio': 0.15, 'fittest_exploit_ratio': 0.45, 'avg_fitness': 3.96, 'avg_exploit_ratio': 0.52, 'max_fitness': 4.95, 'fittest_observe_ratio': 0.4, 'tick_id': 9800, 'fittest_gene': '1-0-2-1-2-2-2-1-1-0-2-1-2-0-1-2-1-1-2-1'}";"2";"/record_generation_server";"1650482972.492352962";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.35, 'avg_explore_ratio': 0.15, 'fittest_explore_ratio': 0.15, 'fittest_exploit_ratio': 0.5, 'avg_fitness': 3.96, 'avg_exploit_ratio': 0.5, 'max_fitness': 4.95, 'fittest_observe_ratio': 0.35, 'tick_id': 9700, 'fittest_gene': '1-0-1-1-2-2-2-1-1-0-2-1-2-0-1-2-1-1-2-1'}";"2";"/record_generation_server";"1650482971.972472906";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.34, 'avg_explore_ratio': 0.16, 'fittest_explore_ratio': 0.15, 'fittest_exploit_ratio': 0.5, 'avg_fitness': 3.96, 'avg_exploit_ratio': 0.5, 'max_fitness': 4.95, 'fittest_observe_ratio': 0.35, 'tick_id': 9600, 'fittest_gene': '1-0-1-1-2-2-2-1-1-0-2-1-2-0-1-2-1-1-2-1'}";"2";"/record_generation_server";"1650482971.478879928";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.34, 'avg_explore_ratio': 0.16, 'fittest_explore_ratio': 0.2, 'fittest_exploit_ratio': 0.45, 'avg_fitness': 2.5740000000000003, 'avg_exploit_ratio': 0.5, 'max_fitness': 4.95, 'fittest_observe_ratio': 0.35, 'tick_id': 9500, 'fittest_gene': '1-0-2-1-2-2-2-1-2-1-0-1-2-0-1-2-1-1-0-1'}";"2";"/record_generation_server";"1650482970.987346887";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.32, 'avg_explore_ratio': 0.16, 'fittest_explore_ratio': 0.15, 'fittest_exploit_ratio': 0.55, 'avg_fitness': 3.95959595959596, 'avg_exploit_ratio': 0.52, 'max_fitness': 4.94949494949495, 'fittest_observe_ratio': 0.3, 'tick_id': 9400, 'fittest_gene': '1-0-1-1-2-2-2-1-1-1-0-1-2-0-1-2-1-1-2-1'}";"2";"/record_generation_server";"1650482970.516720056";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.29, 'avg_explore_ratio': 0.18, 'fittest_explore_ratio': 0.15, 'fittest_exploit_ratio': 0.55, 'avg_fitness': 3.96, 'avg_exploit_ratio': 0.53, 'max_fitness': 4.95, 'fittest_observe_ratio': 0.3, 'tick_id': 9300, 'fittest_gene': '1-0-1-1-2-2-2-1-1-1-0-1-2-0-1-2-1-1-2-1'}";"2";"/record_generation_server";"1650482970.040533065";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
