message;severity;node;stamp;topics;location
"Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.";"4";"/environment_updater";"1650483444.238167047";"/bees/bee_alive,/bees/bee_updated,/bees/outcome_processed,/flowers/flower_alive,/flowers/flower_updated,/outcomes,/rosout,/tick_completed,/update_bees,/update_flowers";"tcpros_base.py:TCPROSServer._tcp_server_callback:355"
"Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.";"4";"/environment_updater";"1650483443.424098968";"/bees/bee_alive,/bees/bee_updated,/bees/outcome_processed,/flowers/flower_alive,/flowers/flower_updated,/outcomes,/rosout,/tick_completed,/update_bees,/update_flowers";"tcpros_base.py:TCPROSServer._tcp_server_callback:355"
"Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.";"4";"/environment_updater";"1650483441.787478923";"/bees/bee_alive,/bees/bee_updated,/bees/outcome_processed,/flowers/flower_alive,/flowers/flower_updated,/outcomes,/rosout,/tick_completed,/update_bees,/update_flowers";"tcpros_base.py:TCPROSServer._tcp_server_callback:355"
"{'avg_observe_ratio': 0.31, 'avg_explore_ratio': 0.21, 'fittest_explore_ratio': 0.2, 'fittest_exploit_ratio': 0.5, 'avg_fitness': 3.167999999999998, 'avg_exploit_ratio': 0.48, 'max_fitness': 3.96, 'fittest_observe_ratio': 0.3, 'tick_id': 10000, 'fittest_gene': '1-2-0-2-0-1-1-1-1-2-1-0-2-1-2-1-1-1-2-0'}";"2";"/record_generation_server";"1650483441.633266925";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.3, 'avg_explore_ratio': 0.23, 'fittest_explore_ratio': 0.25, 'fittest_exploit_ratio': 0.45, 'avg_fitness': 4.751999999999998, 'avg_exploit_ratio': 0.47, 'max_fitness': 7.92, 'fittest_observe_ratio': 0.3, 'tick_id': 9900, 'fittest_gene': '1-2-0-2-1-1-1-2-0-0-1-0-2-1-2-1-1-1-2-0'}";"2";"/record_generation_server";"1650483441.148386001";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.29, 'avg_explore_ratio': 0.19, 'fittest_explore_ratio': 0.15, 'fittest_exploit_ratio': 0.55, 'avg_fitness': 4.751999999999998, 'avg_exploit_ratio': 0.52, 'max_fitness': 7.92, 'fittest_observe_ratio': 0.3, 'tick_id': 9800, 'fittest_gene': '1-2-0-2-1-1-1-1-1-2-1-0-2-1-2-1-2-1-0-1'}";"2";"/record_generation_server";"1650483440.614366054";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.29, 'avg_explore_ratio': 0.23, 'fittest_explore_ratio': 0.25, 'fittest_exploit_ratio': 0.45, 'avg_fitness': 3.167999999999998, 'avg_exploit_ratio': 0.48, 'max_fitness': 3.96, 'fittest_observe_ratio': 0.3, 'tick_id': 9700, 'fittest_gene': '1-2-0-2-0-1-1-1-1-0-1-2-0-1-2-2-1-1-2-0'}";"2";"/record_generation_server";"1650483440.132953882";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.31, 'avg_explore_ratio': 0.18, 'fittest_explore_ratio': 0.25, 'fittest_exploit_ratio': 0.45, 'avg_fitness': 3.167999999999998, 'avg_exploit_ratio': 0.51, 'max_fitness': 3.96, 'fittest_observe_ratio': 0.3, 'tick_id': 9600, 'fittest_gene': '1-2-0-2-1-1-1-1-0-0-1-0-2-1-2-1-2-1-0-2'}";"2";"/record_generation_server";"1650483439.642153978";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.31, 'avg_explore_ratio': 0.2, 'fittest_explore_ratio': 0.2, 'fittest_exploit_ratio': 0.5, 'avg_fitness': 4.752000000000001, 'avg_exploit_ratio': 0.49, 'max_fitness': 7.92, 'fittest_observe_ratio': 0.3, 'tick_id': 9500, 'fittest_gene': '1-2-0-1-1-2-1-1-1-0-1-2-0-1-2-2-1-1-0-2'}";"2";"/record_generation_server";"1650483439.190300941";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
"{'avg_observe_ratio': 0.34, 'avg_explore_ratio': 0.19, 'fittest_explore_ratio': 0.2, 'fittest_exploit_ratio': 0.45, 'avg_fitness': 3.168, 'avg_exploit_ratio': 0.47, 'max_fitness': 7.92, 'fittest_observe_ratio': 0.35, 'tick_id': 9400, 'fittest_gene': '1-2-0-2-1-2-1-1-1-0-1-2-0-1-2-2-1-1-0-2'}";"2";"/record_generation_server";"1650483438.714942932";"/rosout";"record_generation_server.py:RecordGenerationServer.handle_request:27"
